FICHA,CODIGO,VERSION,SECTOR,PAGI,PAGF,FORMULARIO,CARPETA
AGR010: Pantallas térmicas en invernaderos,AGR010,V1.0,Agrario,9,19,CAEs/BOE-A-2024-14816.pdf,CAES
AGR020: Recuperación del calor del proceso de preenfriamiento de la leche para usos térmicos en la explotación ganadera,AGR020,V1.1,Agrario,19,25,CAEs/BOE-A-2024-14816.pdf,CAES
IND010: Mejora del aislamiento de tuberías y superficies planas de instalaciones y equipos utilizados en procesos industriales para temperaturas de más de 60°,IND010,V1.1,Industrial,25,43,CAEs/BOE-A-2024-14816.pdf,CAES
IND020: Sustitución del refrigerante de una instalación Frigorífica,IND020,V1.1,Industrial,43,53,CAEs/BOE-A-2024-14816.pdf,CAES
IND030: Sustitución de compresor para instalación Frigorífica,IND030,V1.1,Industrial,53,63,CAEs/BOE-A-2024-14816.pdf,CAES
IND040: Sustitución de caldera de combustión existente por bomba de calor,IND040,V1.1,Industrial,63,83,CAEs/BOE-A-2024-14816.pdf,CAES
IND050: Sustitución del sistema de iluminación por sistema con fuentes luminosas y/o luminarias tipo LED,IND050,V1.1,Industrial,84,91,CAEs/BOE-A-2024-14816.pdf,CAES
IND060: Sustitución de generador para climatización por bomba de calor de accionamiento eléctrico,IND060,V1.1,Industrial,91,106,CAEs/BOE-A-2024-14816.pdf,CAES
IND070: Sustitución de bomba de alta presión por una bomba de pistones axiales,IND070,V1.1,Industrial,106,112,CAEs/BOE-A-2024-14816.pdf,CAES
IND080: Instalación de una cámara isobárica o intercambiador de presión (CIP),IND080,V1.1,Industrial,112,120,CAEs/BOE-A-2024-14816.pdf,CAES
"IND081: Sustitución del recuperador, cámara isobárica o intercambiador de presión (CIP)",IND081,V1.1,Industrial,120,127,CAEs/BOE-A-2024-14816.pdf,CAES
IND090: Sustitución o reemplazo de compresor de aire por uno más eficiente,IND090,V1.1,Industrial,127,136,CAEs/BOE-A-2024-14816.pdf,CAES
IND110: Recuperación de calor de un compresor para uso de calefacción,IND110,V1.1,Industrial,136,144,CAEs/BOE-A-2024-14816.pdf,CAES
IND120: Sustitución de quemador modulante de caldera de combustión de gas,IND120,V1.1,Industrial,144,151,CAEs/BOE-A-2024-14816.pdf,CAES
"IND140: Reforma, sustitución o nueva instalación de planta enfriadora de procesos de alta eficiencia",IND140,V1.1,Industrial,151,161,CAEs/BOE-A-2024-14816.pdf,CAES
IND150: Central frigorífica de alta eficiencia con sistemas de refrigeración directa,IND150,V1.1,Industrial,161,171,CAEs/BOE-A-2024-14816.pdf,CAES
