ALBACETE,D3
ALICANTE,B4
ALMERIA,A4
ÁVILA,E1
BADAJOZ,C4
BARCELONA,C2
BILBAO,C1
BURGOS,E1
CÁCERES,C4
CÁDIZ,A3
CASTELLÓN,B3
CEUTA,B3
CIUDAD REAL,D3
CÓRDOBA,B4
CORUÑA,C1
CUENCA,D2
GIRONA,D2
GRANADA,C3
GUADALAJARA,D3
HUELVA,A4
HUESCA,D2
JAÉN,C4
LEON,E1
LLEIDA,D3
LOGROÑO,D2
LUGO,D1
MADRID,D3
MÁLAGA,A3
MELILLA,A3
MURCIA,B3
OURENSE,D2
OVIEDO,D1
PALENCIA,D1
PALMA DE MALLORCA,B3
PALMAS DE GRAN CANARIA,Alfa3
PAMPLONA,D1
PONTEVEDRA,C1
SALAMANCA,D2
SAN SEBASTIÁN,D1
SANTA CRUZ DE TENERIFE,Alfa3
SANTANDER,C1
SEGOVIA,D2
SEVILLA,B4
SORIA,E1
TARRAGONA,B3
TERUEL,D2
TOLEDO,C4
VALENCIA,B3
VALLADOLID,D2
VITORIA ,D1
ZAMORA,D2
ZARAGOZA,D3
